Year,CommonName,MigrationType,AnnualCount
2004,Red-bellied Woodpecker,Resident,3
2004,Downy Woodpecker,Resident,9
2004,Hairy Woodpecker,Resident,0
2004,Yellow-shafted Flicker,Resident,2
2004,Pileated Woodpecker,Resident,1
2004,Blue-headed Vireo,Short distance migrant,0
2004,Philadelphia Vireo,Short distance migrant,0
2004,Red-eyed Vireo,Long distance migrant,6
2004,Warbling Vireo,Short distance migrant,0
2004,White-eyed Vireo,Short distance migrant,11
2004,Yellow-throated Vireo,Short distance migrant,0
2004,Carolina Chickadee,Resident,19
2004,Tufted Titmouse,Resident,0
2004,White-breasted Nuthatch,Resident,0
2004,Carolina Wren,Resident,11
2004,Golden-crowned Kinglet,Short distance migrant,1
2004,Ruby-crowned Kinglet,Short distance migrant,4
2004,Blue-gray Gnatcatcher,Short distance migrant,6
2004,Gray-cheeked Thrush,Long distance migrant,0
2004,Hermit Thrush,Short distance migrant,0
2004,Swainson's Thrush,Long distance migrant,34
2004,Wood Thrush,Long distance migrant,23
2004,Bay-breasted Warbler,Long distance migrant,1
2004,Black-and-white Warbler,Short distance migrant,5
2004,Blackburnian Warbler,Long distance migrant,0
2004,Blackpoll Warbler,Long distance migrant,3
2004,Black-throated Blue Warbler,Long distance migrant,2
2004,Black-throated Green Warbler,Long distance migrant,2
2004,Blue-winged Warbler,Long distance migrant,0
2004,Canada Warbler,Long distance migrant,3
2004,Cape May Warbler,Long distance migrant,1
2004,Cerulean Warbler,Long distance migrant,0
2004,Yellow-breasted Chat,Long distance migrant,0
2004,Chestnut-sided Warbler,Long distance migrant,1
2004,Connecticut Warbler,Long distance migrant,0
2004,Golden-winged Warbler,Long distance migrant,0
2004,Hooded Warbler,Long distance migrant,1
2004,Kentucky Warbler,Long distance migrant,6
2004,Magnolia Warbler,Long distance migrant,19
2004,Mourning Warbler,Long distance migrant,2
2004,Nashville Warbler,Long distance migrant,3
2004,Orange-crowned Warbler,Long distance migrant,1
2004,Ovenbird,Long distance migrant,17
2004,Western Palm Warbler,Long distance migrant,1
2004,Northern Parula,Long distance migrant,0
2004,Pine Warbler,Short distance migrant,0
2004,Prairie Warbler,Long distance migrant,12
2004,Prothonotary Warbler,Short distance migrant,0
2004,American Redstart,Long distance migrant,5
2004,Tennessee Warbler,Long distance migrant,6
2004,Wilson's Warbler,Long distance migrant,1
2004,Worm-eating Warbler,Long distance migrant,0
2004,Myrtle Warbler,Short distance migrant,1
2004,Yellow-throated Warbler,Short distance migrant,0
2004,Common Yellowthroat,Short distance migrant,25
2004,Scarlet Tanager,Long distance migrant,1
2004,Summer Tanager,Long distance migrant,0
2004,Eastern Towhee,Short distance migrant,7
2004,Chipping Sparrow,Short distance migrant,0
2004,Field Sparrow,Short distance migrant,25
2004,Savannah Sparrow,Short distance migrant,0
2004,Northern Cardinal,Resident,88
2004,White-crowned Sparrow,Short distance migrant,0
2004,White-throated Sparrow,Short distance migrant,68
2004,Slate-colored Junco,Short distance migrant,3
2004,Baltimore Oriole,Long distance migrant,12
2004,Orchard Oriole,Long distance migrant,3
2005,Red-bellied Woodpecker,Resident,0
2005,Downy Woodpecker,Resident,6
2005,Hairy Woodpecker,Resident,0
2005,Yellow-shafted Flicker,Resident,6
2005,Pileated Woodpecker,Resident,1
2005,Blue-headed Vireo,Short distance migrant,0
2005,Philadelphia Vireo,Short distance migrant,3
2005,Red-eyed Vireo,Long distance migrant,14
2005,Warbling Vireo,Short distance migrant,0
2005,White-eyed Vireo,Short distance migrant,20
2005,Yellow-throated Vireo,Short distance migrant,0
2005,Carolina Chickadee,Resident,18
2005,Tufted Titmouse,Resident,0
2005,White-breasted Nuthatch,Resident,0
2005,Carolina Wren,Resident,10
2005,Golden-crowned Kinglet,Short distance migrant,17
2005,Ruby-crowned Kinglet,Short distance migrant,28
2005,Blue-gray Gnatcatcher,Short distance migrant,5
2005,Gray-cheeked Thrush,Long distance migrant,9
2005,Hermit Thrush,Short distance migrant,19
2005,Swainson's Thrush,Long distance migrant,21
2005,Wood Thrush,Long distance migrant,16
2005,Bay-breasted Warbler,Long distance migrant,0
2005,Black-and-white Warbler,Short distance migrant,1
2005,Blackburnian Warbler,Long distance migrant,0
2005,Blackpoll Warbler,Long distance migrant,0
2005,Black-throated Blue Warbler,Long distance migrant,1
2005,Black-throated Green Warbler,Long distance migrant,2
2005,Blue-winged Warbler,Long distance migrant,0
2005,Canada Warbler,Long distance migrant,10
2005,Cape May Warbler,Long distance migrant,2
2005,Cerulean Warbler,Long distance migrant,0
2005,Yellow-breasted Chat,Long distance migrant,6
2005,Chestnut-sided Warbler,Long distance migrant,3
2005,Connecticut Warbler,Long distance migrant,0
2005,Golden-winged Warbler,Long distance migrant,1
2005,Hooded Warbler,Long distance migrant,1
2005,Kentucky Warbler,Long distance migrant,4
2005,Magnolia Warbler,Long distance migrant,24
2005,Mourning Warbler,Long distance migrant,2
2005,Nashville Warbler,Long distance migrant,3
2005,Orange-crowned Warbler,Long distance migrant,0
2005,Ovenbird,Long distance migrant,10
2005,Western Palm Warbler,Long distance migrant,5
2005,Northern Parula,Long distance migrant,1
2005,Pine Warbler,Short distance migrant,0
2005,Prairie Warbler,Long distance migrant,7
2005,Prothonotary Warbler,Short distance migrant,0
2005,American Redstart,Long distance migrant,16
2005,Tennessee Warbler,Long distance migrant,25
2005,Wilson's Warbler,Long distance migrant,11
2005,Worm-eating Warbler,Long distance migrant,0
2005,Myrtle Warbler,Short distance migrant,26
2005,Yellow-throated Warbler,Short distance migrant,0
2005,Common Yellowthroat,Short distance migrant,19
2005,Scarlet Tanager,Long distance migrant,1
2005,Summer Tanager,Long distance migrant,0
2005,Eastern Towhee,Short distance migrant,6
2005,Chipping Sparrow,Short distance migrant,0
2005,Field Sparrow,Short distance migrant,35
2005,Savannah Sparrow,Short distance migrant,0
2005,Northern Cardinal,Resident,77
2005,White-crowned Sparrow,Short distance migrant,4
2005,White-throated Sparrow,Short distance migrant,102
2005,Slate-colored Junco,Short distance migrant,8
2005,Baltimore Oriole,Long distance migrant,13
2005,Orchard Oriole,Long distance migrant,7
2006,Red-bellied Woodpecker,Resident,4
2006,Downy Woodpecker,Resident,15
2006,Hairy Woodpecker,Resident,3
2006,Yellow-shafted Flicker,Resident,8
2006,Pileated Woodpecker,Resident,1
2006,Blue-headed Vireo,Short distance migrant,1
2006,Philadelphia Vireo,Short distance migrant,1
2006,Red-eyed Vireo,Long distance migrant,6
2006,Warbling Vireo,Short distance migrant,4
2006,White-eyed Vireo,Short distance migrant,28
2006,Yellow-throated Vireo,Short distance migrant,0
2006,Carolina Chickadee,Resident,45
2006,Tufted Titmouse,Resident,0
2006,White-breasted Nuthatch,Resident,1
2006,Carolina Wren,Resident,14
2006,Golden-crowned Kinglet,Short distance migrant,14
2006,Ruby-crowned Kinglet,Short distance migrant,11
2006,Blue-gray Gnatcatcher,Short distance migrant,5
2006,Gray-cheeked Thrush,Long distance migrant,5
2006,Hermit Thrush,Short distance migrant,16
2006,Swainson's Thrush,Long distance migrant,44
2006,Wood Thrush,Long distance migrant,26
2006,Bay-breasted Warbler,Long distance migrant,1
2006,Black-and-white Warbler,Short distance migrant,4
2006,Blackburnian Warbler,Long distance migrant,2
2006,Blackpoll Warbler,Long distance migrant,0
2006,Black-throated Blue Warbler,Long distance migrant,1
2006,Black-throated Green Warbler,Long distance migrant,2
2006,Blue-winged Warbler,Long distance migrant,0
2006,Canada Warbler,Long distance migrant,9
2006,Cape May Warbler,Long distance migrant,0
2006,Cerulean Warbler,Long distance migrant,0
2006,Yellow-breasted Chat,Long distance migrant,2
2006,Chestnut-sided Warbler,Long distance migrant,2
2006,Connecticut Warbler,Long distance migrant,0
2006,Golden-winged Warbler,Long distance migrant,1
2006,Hooded Warbler,Long distance migrant,0
2006,Kentucky Warbler,Long distance migrant,1
2006,Magnolia Warbler,Long distance migrant,25
2006,Mourning Warbler,Long distance migrant,9
2006,Nashville Warbler,Long distance migrant,2
2006,Orange-crowned Warbler,Long distance migrant,1
2006,Ovenbird,Long distance migrant,23
2006,Western Palm Warbler,Long distance migrant,7
2006,Northern Parula,Long distance migrant,0
2006,Pine Warbler,Short distance migrant,1
2006,Prairie Warbler,Long distance migrant,6
2006,Prothonotary Warbler,Short distance migrant,0
2006,American Redstart,Long distance migrant,1
2006,Tennessee Warbler,Long distance migrant,16
2006,Wilson's Warbler,Long distance migrant,7
2006,Worm-eating Warbler,Long distance migrant,0
2006,Myrtle Warbler,Short distance migrant,34
2006,Yellow-throated Warbler,Short distance migrant,0
2006,Common Yellowthroat,Short distance migrant,13
2006,Scarlet Tanager,Long distance migrant,1
2006,Summer Tanager,Long distance migrant,0
2006,Eastern Towhee,Short distance migrant,8
2006,Chipping Sparrow,Short distance migrant,0
2006,Field Sparrow,Short distance migrant,29
2006,Savannah Sparrow,Short distance migrant,0
2006,Northern Cardinal,Resident,114
2006,White-crowned Sparrow,Short distance migrant,1
2006,White-throated Sparrow,Short distance migrant,104
2006,Slate-colored Junco,Short distance migrant,4
2006,Baltimore Oriole,Long distance migrant,21
2006,Orchard Oriole,Long distance migrant,11
2007,Red-bellied Woodpecker,Resident,1
2007,Downy Woodpecker,Resident,14
2007,Hairy Woodpecker,Resident,1
2007,Yellow-shafted Flicker,Resident,3
2007,Pileated Woodpecker,Resident,0
2007,Blue-headed Vireo,Short distance migrant,1
2007,Philadelphia Vireo,Short distance migrant,2
2007,Red-eyed Vireo,Long distance migrant,19
2007,Warbling Vireo,Short distance migrant,4
2007,White-eyed Vireo,Short distance migrant,12
2007,Yellow-throated Vireo,Short distance migrant,0
2007,Carolina Chickadee,Resident,17
2007,Tufted Titmouse,Resident,0
2007,White-breasted Nuthatch,Resident,0
2007,Carolina Wren,Resident,7
2007,Golden-crowned Kinglet,Short distance migrant,4
2007,Ruby-crowned Kinglet,Short distance migrant,6
2007,Blue-gray Gnatcatcher,Short distance migrant,7
2007,Gray-cheeked Thrush,Long distance migrant,7
2007,Hermit Thrush,Short distance migrant,7
2007,Swainson's Thrush,Long distance migrant,52
2007,Wood Thrush,Long distance migrant,16
2007,Bay-breasted Warbler,Long distance migrant,0
2007,Black-and-white Warbler,Short distance migrant,1
2007,Blackburnian Warbler,Long distance migrant,0
2007,Blackpoll Warbler,Long distance migrant,1
2007,Black-throated Blue Warbler,Long distance migrant,1
2007,Black-throated Green Warbler,Long distance migrant,1
2007,Blue-winged Warbler,Long distance migrant,0
2007,Canada Warbler,Long distance migrant,4
2007,Cape May Warbler,Long distance migrant,0
2007,Cerulean Warbler,Long distance migrant,0
2007,Yellow-breasted Chat,Long distance migrant,1
2007,Chestnut-sided Warbler,Long distance migrant,2
2007,Connecticut Warbler,Long distance migrant,0
2007,Golden-winged Warbler,Long distance migrant,0
2007,Hooded Warbler,Long distance migrant,1
2007,Kentucky Warbler,Long distance migrant,3
2007,Magnolia Warbler,Long distance migrant,20
2007,Mourning Warbler,Long distance migrant,3
2007,Nashville Warbler,Long distance migrant,3
2007,Orange-crowned Warbler,Long distance migrant,0
2007,Ovenbird,Long distance migrant,15
2007,Western Palm Warbler,Long distance migrant,5
2007,Northern Parula,Long distance migrant,0
2007,Pine Warbler,Short distance migrant,0
2007,Prairie Warbler,Long distance migrant,7
2007,Prothonotary Warbler,Short distance migrant,1
2007,American Redstart,Long distance migrant,4
2007,Tennessee Warbler,Long distance migrant,6
2007,Wilson's Warbler,Long distance migrant,2
2007,Worm-eating Warbler,Long distance migrant,0
2007,Myrtle Warbler,Short distance migrant,28
2007,Yellow-throated Warbler,Short distance migrant,0
2007,Common Yellowthroat,Short distance migrant,10
2007,Scarlet Tanager,Long distance migrant,1
2007,Summer Tanager,Long distance migrant,0
2007,Eastern Towhee,Short distance migrant,5
2007,Chipping Sparrow,Short distance migrant,2
2007,Field Sparrow,Short distance migrant,8
2007,Savannah Sparrow,Short distance migrant,0
2007,Northern Cardinal,Resident,69
2007,White-crowned Sparrow,Short distance migrant,0
2007,White-throated Sparrow,Short distance migrant,62
2007,Slate-colored Junco,Short distance migrant,0
2007,Baltimore Oriole,Long distance migrant,16
2007,Orchard Oriole,Long distance migrant,21
2008,Red-bellied Woodpecker,Resident,2
2008,Downy Woodpecker,Resident,10
2008,Hairy Woodpecker,Resident,4
2008,Yellow-shafted Flicker,Resident,3
2008,Pileated Woodpecker,Resident,0
2008,Blue-headed Vireo,Short distance migrant,5
2008,Philadelphia Vireo,Short distance migrant,4
2008,Red-eyed Vireo,Long distance migrant,18
2008,Warbling Vireo,Short distance migrant,6
2008,White-eyed Vireo,Short distance migrant,16
2008,Yellow-throated Vireo,Short distance migrant,3
2008,Carolina Chickadee,Resident,31
2008,Tufted Titmouse,Resident,0
2008,White-breasted Nuthatch,Resident,3
2008,Carolina Wren,Resident,10
2008,Golden-crowned Kinglet,Short distance migrant,12
2008,Ruby-crowned Kinglet,Short distance migrant,28
2008,Blue-gray Gnatcatcher,Short distance migrant,9
2008,Gray-cheeked Thrush,Long distance migrant,9
2008,Hermit Thrush,Short distance migrant,26
2008,Swainson's Thrush,Long distance migrant,110
2008,Wood Thrush,Long distance migrant,43
2008,Bay-breasted Warbler,Long distance migrant,5
2008,Black-and-white Warbler,Short distance migrant,18
2008,Blackburnian Warbler,Long distance migrant,3
2008,Blackpoll Warbler,Long distance migrant,5
2008,Black-throated Blue Warbler,Long distance migrant,3
2008,Black-throated Green Warbler,Long distance migrant,11
2008,Blue-winged Warbler,Long distance migrant,0
2008,Canada Warbler,Long distance migrant,11
2008,Cape May Warbler,Long distance migrant,3
2008,Cerulean Warbler,Long distance migrant,0
2008,Yellow-breasted Chat,Long distance migrant,5
2008,Chestnut-sided Warbler,Long distance migrant,7
2008,Connecticut Warbler,Long distance migrant,1
2008,Golden-winged Warbler,Long distance migrant,0
2008,Hooded Warbler,Long distance migrant,1
2008,Kentucky Warbler,Long distance migrant,2
2008,Magnolia Warbler,Long distance migrant,46
2008,Mourning Warbler,Long distance migrant,5
2008,Nashville Warbler,Long distance migrant,7
2008,Orange-crowned Warbler,Long distance migrant,0
2008,Ovenbird,Long distance migrant,45
2008,Western Palm Warbler,Long distance migrant,4
2008,Northern Parula,Long distance migrant,6
2008,Pine Warbler,Short distance migrant,0
2008,Prairie Warbler,Long distance migrant,3
2008,Prothonotary Warbler,Short distance migrant,0
2008,American Redstart,Long distance migrant,24
2008,Tennessee Warbler,Long distance migrant,5
2008,Wilson's Warbler,Long distance migrant,11
2008,Worm-eating Warbler,Long distance migrant,1
2008,Myrtle Warbler,Short distance migrant,77
2008,Yellow-throated Warbler,Short distance migrant,0
2008,Common Yellowthroat,Short distance migrant,9
2008,Scarlet Tanager,Long distance migrant,6
2008,Summer Tanager,Long distance migrant,0
2008,Eastern Towhee,Short distance migrant,10
2008,Chipping Sparrow,Short distance migrant,6
2008,Field Sparrow,Short distance migrant,16
2008,Savannah Sparrow,Short distance migrant,0
2008,Northern Cardinal,Resident,88
2008,White-crowned Sparrow,Short distance migrant,0
2008,White-throated Sparrow,Short distance migrant,115
2008,Slate-colored Junco,Short distance migrant,1
2008,Baltimore Oriole,Long distance migrant,14
2008,Orchard Oriole,Long distance migrant,9
2009,Red-bellied Woodpecker,Resident,0
2009,Downy Woodpecker,Resident,8
2009,Hairy Woodpecker,Resident,1
2009,Yellow-shafted Flicker,Resident,2
2009,Pileated Woodpecker,Resident,0
2009,Blue-headed Vireo,Short distance migrant,2
2009,Philadelphia Vireo,Short distance migrant,2
2009,Red-eyed Vireo,Long distance migrant,9
2009,Warbling Vireo,Short distance migrant,3
2009,White-eyed Vireo,Short distance migrant,9
2009,Yellow-throated Vireo,Short distance migrant,1
2009,Carolina Chickadee,Resident,22
2009,Tufted Titmouse,Resident,0
2009,White-breasted Nuthatch,Resident,2
2009,Carolina Wren,Resident,12
2009,Golden-crowned Kinglet,Short distance migrant,8
2009,Ruby-crowned Kinglet,Short distance migrant,16
2009,Blue-gray Gnatcatcher,Short distance migrant,4
2009,Gray-cheeked Thrush,Long distance migrant,34
2009,Hermit Thrush,Short distance migrant,7
2009,Swainson's Thrush,Long distance migrant,103
2009,Wood Thrush,Long distance migrant,33
2009,Bay-breasted Warbler,Long distance migrant,0
2009,Black-and-white Warbler,Short distance migrant,7
2009,Blackburnian Warbler,Long distance migrant,1
2009,Blackpoll Warbler,Long distance migrant,0
2009,Black-throated Blue Warbler,Long distance migrant,0
2009,Black-throated Green Warbler,Long distance migrant,5
2009,Blue-winged Warbler,Long distance migrant,0
2009,Canada Warbler,Long distance migrant,2
2009,Cape May Warbler,Long distance migrant,0
2009,Cerulean Warbler,Long distance migrant,1
2009,Yellow-breasted Chat,Long distance migrant,2
2009,Chestnut-sided Warbler,Long distance migrant,3
2009,Connecticut Warbler,Long distance migrant,0
2009,Golden-winged Warbler,Long distance migrant,0
2009,Hooded Warbler,Long distance migrant,0
2009,Kentucky Warbler,Long distance migrant,4
2009,Magnolia Warbler,Long distance migrant,30
2009,Mourning Warbler,Long distance migrant,2
2009,Nashville Warbler,Long distance migrant,8
2009,Orange-crowned Warbler,Long distance migrant,0
2009,Ovenbird,Long distance migrant,29
2009,Western Palm Warbler,Long distance migrant,4
2009,Northern Parula,Long distance migrant,3
2009,Pine Warbler,Short distance migrant,0
2009,Prairie Warbler,Long distance migrant,2
2009,Prothonotary Warbler,Short distance migrant,0
2009,American Redstart,Long distance migrant,17
2009,Tennessee Warbler,Long distance migrant,12
2009,Wilson's Warbler,Long distance migrant,9
2009,Worm-eating Warbler,Long distance migrant,0
2009,Myrtle Warbler,Short distance migrant,3
2009,Yellow-throated Warbler,Short distance migrant,1
2009,Common Yellowthroat,Short distance migrant,7
2009,Scarlet Tanager,Long distance migrant,4
2009,Summer Tanager,Long distance migrant,0
2009,Eastern Towhee,Short distance migrant,4
2009,Chipping Sparrow,Short distance migrant,10
2009,Field Sparrow,Short distance migrant,16
2009,Savannah Sparrow,Short distance migrant,0
2009,Northern Cardinal,Resident,44
2009,White-crowned Sparrow,Short distance migrant,0
2009,White-throated Sparrow,Short distance migrant,32
2009,Slate-colored Junco,Short distance migrant,5
2009,Baltimore Oriole,Long distance migrant,19
2009,Orchard Oriole,Long distance migrant,6
2010,Red-bellied Woodpecker,Resident,0
2010,Downy Woodpecker,Resident,5
2010,Hairy Woodpecker,Resident,1
2010,Yellow-shafted Flicker,Resident,2
2010,Pileated Woodpecker,Resident,0
2010,Blue-headed Vireo,Short distance migrant,2
2010,Philadelphia Vireo,Short distance migrant,4
2010,Red-eyed Vireo,Long distance migrant,3
2010,Warbling Vireo,Short distance migrant,2
2010,White-eyed Vireo,Short distance migrant,3
2010,Yellow-throated Vireo,Short distance migrant,1
2010,Carolina Chickadee,Resident,13
2010,Tufted Titmouse,Resident,0
2010,White-breasted Nuthatch,Resident,1
2010,Carolina Wren,Resident,11
2010,Golden-crowned Kinglet,Short distance migrant,7
2010,Ruby-crowned Kinglet,Short distance migrant,15
2010,Blue-gray Gnatcatcher,Short distance migrant,3
2010,Gray-cheeked Thrush,Long distance migrant,8
2010,Hermit Thrush,Short distance migrant,10
2010,Swainson's Thrush,Long distance migrant,108
2010,Wood Thrush,Long distance migrant,33
2010,Bay-breasted Warbler,Long distance migrant,1
2010,Black-and-white Warbler,Short distance migrant,5
2010,Blackburnian Warbler,Long distance migrant,0
2010,Blackpoll Warbler,Long distance migrant,1
2010,Black-throated Blue Warbler,Long distance migrant,2
2010,Black-throated Green Warbler,Long distance migrant,3
2010,Blue-winged Warbler,Long distance migrant,1
2010,Canada Warbler,Long distance migrant,3
2010,Cape May Warbler,Long distance migrant,0
2010,Cerulean Warbler,Long distance migrant,0
2010,Yellow-breasted Chat,Long distance migrant,2
2010,Chestnut-sided Warbler,Long distance migrant,1
2010,Connecticut Warbler,Long distance migrant,0
2010,Golden-winged Warbler,Long distance migrant,0
2010,Hooded Warbler,Long distance migrant,1
2010,Kentucky Warbler,Long distance migrant,5
2010,Magnolia Warbler,Long distance migrant,19
2010,Mourning Warbler,Long distance migrant,4
2010,Nashville Warbler,Long distance migrant,17
2010,Orange-crowned Warbler,Long distance migrant,0
2010,Ovenbird,Long distance migrant,46
2010,Western Palm Warbler,Long distance migrant,2
2010,Northern Parula,Long distance migrant,1
2010,Pine Warbler,Short distance migrant,0
2010,Prairie Warbler,Long distance migrant,3
2010,Prothonotary Warbler,Short distance migrant,2
2010,American Redstart,Long distance migrant,4
2010,Tennessee Warbler,Long distance migrant,44
2010,Wilson's Warbler,Long distance migrant,3
2010,Worm-eating Warbler,Long distance migrant,0
2010,Myrtle Warbler,Short distance migrant,61
2010,Yellow-throated Warbler,Short distance migrant,0
2010,Common Yellowthroat,Short distance migrant,6
2010,Scarlet Tanager,Long distance migrant,0
2010,Summer Tanager,Long distance migrant,0
2010,Eastern Towhee,Short distance migrant,7
2010,Chipping Sparrow,Short distance migrant,3
2010,Field Sparrow,Short distance migrant,8
2010,Savannah Sparrow,Short distance migrant,0
2010,Northern Cardinal,Resident,76
2010,White-crowned Sparrow,Short distance migrant,0
2010,White-throated Sparrow,Short distance migrant,101
2010,Slate-colored Junco,Short distance migrant,0
2010,Baltimore Oriole,Long distance migrant,6
2010,Orchard Oriole,Long distance migrant,3
2011,Red-bellied Woodpecker,Resident,1
2011,Downy Woodpecker,Resident,1
2011,Hairy Woodpecker,Resident,1
2011,Yellow-shafted Flicker,Resident,2
2011,Pileated Woodpecker,Resident,0
2011,Blue-headed Vireo,Short distance migrant,6
2011,Philadelphia Vireo,Short distance migrant,1
2011,Red-eyed Vireo,Long distance migrant,2
2011,Warbling Vireo,Short distance migrant,0
2011,White-eyed Vireo,Short distance migrant,1
2011,Yellow-throated Vireo,Short distance migrant,2
2011,Carolina Chickadee,Resident,19
2011,Tufted Titmouse,Resident,17
2011,White-breasted Nuthatch,Resident,1
2011,Carolina Wren,Resident,5
2011,Golden-crowned Kinglet,Short distance migrant,10
2011,Ruby-crowned Kinglet,Short distance migrant,11
2011,Blue-gray Gnatcatcher,Short distance migrant,6
2011,Gray-cheeked Thrush,Long distance migrant,8
2011,Hermit Thrush,Short distance migrant,8
2011,Swainson's Thrush,Long distance migrant,53
2011,Wood Thrush,Long distance migrant,7
2011,Bay-breasted Warbler,Long distance migrant,0
2011,Black-and-white Warbler,Short distance migrant,8
2011,Blackburnian Warbler,Long distance migrant,0
2011,Blackpoll Warbler,Long distance migrant,2
2011,Black-throated Blue Warbler,Long distance migrant,4
2011,Black-throated Green Warbler,Long distance migrant,0
2011,Blue-winged Warbler,Long distance migrant,0
2011,Canada Warbler,Long distance migrant,1
2011,Cape May Warbler,Long distance migrant,0
2011,Cerulean Warbler,Long distance migrant,0
2011,Yellow-breasted Chat,Long distance migrant,1
